nome;via;Tipologia;gmap_address
Gardaland Hotel;Via Palù 1;Albergo;Via Palù, 1, 37014 Castelnuovo del Garda VR, Italia
InGarda Camere;Via S. Zeno, 1;Casa vacanza;Via S. Zeno, 1, 37014 Cavalcaselle VR, Italia
LA CORNICE DEL GARDA;Via Enzo Ferrari 78;Casa vacanza;Via Enzo Ferrari, 78, 37014 Cavalcaselle VR, Italia
Agriturismo Panorama;Via Zenati 13B;Agriturismo;Via Zenati, 13, 37014 Zenati VR, Italia
Kairos Garda Hotel;Via XXV Aprile 36;Albergo;Via XXV Aprile, 36, 37014 Cavalcaselle VR, Italia
Agriturismo La Molinalda;Via Spagnoi 17;Agriturismo;Via Spagnoi, 17, 37014 Castelnuovo del Garda VR, Italia
Hotel Gasparina;Via Gasparina 15;Albergo;Via Gasparina, 15, 37014 Castelnuovo del Garda VR, Italia
B&B I Germani;Via Mantovana 64;Bed and Breakfast;Via Mantovana, 64, 37014 Cavalcaselle VR, Italia
Agriturismo Bosco Del Gal;Via Costabella 2;Agriturismo;Via Costabella, 2, 37014 Castelnuovo del Garda VR, Italia
Love Lake Life;Vicolo Rossini, 12;Casa vacanza;Vicolo Gioacchino Rossini, 12, 37014 Ronchi VR, Italia
B&B L'Altro B&B;Via Mantovana 66;Bed and Breakfast;Via Mantovana, 66, 37014 Cavalcaselle VR, Italia
Appartamento zona Lago;Via Libretti 12;Casa vacanza;Via Sottotenente G. Libretti, 12, 37014 Oliosi VR, Italia
Albergo Tavernetta;Via XXV aprile 23;Albergo;Via XXV Aprile, 23, 37014 Cavalcaselle VR, Italia
Agriturismo La Palazzina;Via Palazzina 12;Agriturismo;Via Palazzina, 12, 37014 Castelnuovo del Garda VR, Italia
Locanda Bella Italia;Via Filiselle 16;Locanda;Via Filiselle, 16, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Bazzoli Vittorio 2;via P. Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
Alloggio vacanze Gardaselle - Cavalcaselle brescia;via xx settembre 4 ;Altre strutture extralberghiere;Via XX Settembre, 4, 37014 Cavalcaselle VR, Italia
B&B A Casa di Susi;Via Umberto I 23;Bed and Breakfast;Via Umberto I, 23, 37014 Castelnuovo del Garda VR, Italia
Il Colle;vie fiera 33;Altre strutture extralberghiere;Via Fiera, 33, 37014 Cavalcaselle VR, Italia
Green corner;Via Cignaroli 1;Altre strutture extralberghiere;Via Cignaroli, 1, 37014 Cavalcaselle VR, Italia
Gasparina Village;Via Gasparina 7A;Villaggio;Via Gasparina, 7, 37014 Castelnuovo del Garda VR, Italia
Albergo La Meridiana;Via Generale Zamboni SP27 3;Albergo;Via Generale Zamboni SP27, 3, 37014 Castelnuovo del Garda VR, Italia
Hotel Lo Scoglio;Via Venezia 16;Albergo;Via Venezia, 16, 37017 Confine VR, Italia
Agriturismo I Mischi;Via Mischi 4;Agriturismo;Via Mischi, 4, 37014 Mischi VR, Italia
B&B Corte del Garda;Via Testi 47;Bed and Breakfast;Via Testi, 47, 37014 Castelnuovo del Garda VR, Italia
Agriturismo Chesini;Via Belvedere 18;Agriturismo;Via Belvedere, 18, 37014 Cavalcaselle VR, Italia
appartamento garda lake;silani 48;Casa vacanza;Via Silani, 48, 37014 Silani VR, Italia
Agriturismo al Coppo;Via Brolo 12A;Agriturismo;Via Brolo, 12, 37014 Castelnuovo del Garda VR, Italia
Agriturismo Annacaterina;Via Crosara 4;Agriturismo;Via Crosara, 4, 37014 Castelnuovo del Garda VR, Italia
Agriturismo Corte Zenati;Via Zenati 9;Agriturismo;Via Zenati, 9, 37014 Zenati VR, Italia
Agriturismo Finilon;Via Finlon 7;Agriturismo;Località Fenilon, 37060 Sona VR, Italia
Active Hotel Paradiso & Golf;Via Coppo, 2B;Albergo;Via Coppo, 2B, 37014 Castelnuovo del Garda VR, Italia
Albergo Al Sole;Via Generale Zamboni SP27, 43;Albergo;Via Generale Zamboni SP27, 43, 37014 Sandrà VR, Italia
Hotel Campanello;Via Campanello, 7/9;Albergo;Via Campanello, 7/9, 37014 Castelnuovo del Garda VR, Italia
Hotel Corte Malaspina;Via Pastrengo, 115;Albergo;Via Pastrengo, 115, 37014 Sandrà VR, Italia
Mod 05 Living Hotel;Via Modigliani, 5;Albergo;Via Modigliani, 5, 37014 Sandrà VR, Italia
Parc Hotel;Via Brolo, 2A;Albergo;Via Brolo, 2, 37014 Castelnuovo del Garda VR, Italia
Residence Eden;Via Coppo 2A;Albergo;Via Coppo, 2, 37019 Peschiera del Garda VR, Italia
Alloggio Turistico Porticciolo;Via Campanello 28;Albergo;Via Campanello, 28, 37014 Peschiera del Garda VR, Italia
Appartamento all'angolo;Via XXV aprile 27;Altre strutture extralberghiere;Via XXV Aprile, 27, 37014 Cavalcaselle VR, Italia
Appartamento Miglietta;Via Forte Villa 11;Altre strutture extralberghiere;Via Forte VIlla, 11, Provincia di Verona, Italia
B&B Casa Marina;Via Paolonga 11;Bed and Breakfast;Via Paolonga, 11, Provincia di Verona, Italia
B&B Castelnuovo;Via Roma 7;Bed and Breakfast;Via Roma, 7, 37014 Castelnuovo del Garda VR, Italia
B&B Gardasee;Via Pozzetto 25;Bed and Breakfast;Via Pozzetto, 25, 37014 Castelnuovo del Garda VR, Italia
B&B la Rondine;Via Diaz 42;Bed and Breakfast;Via Diaz, 42, 37014 Castelnuovo del Garda VR, Italia
B&B sul Garda;Via Roma 5;Bed and Breakfast;Via Roma, 5, 37014 Castelnuovo del Garda VR, Italia
B&B Valcerea;Via Valcerea 3;Bed and Breakfast;Via Valcerea, 3, 37014 Castelnuovo del Garda VR, Italia
Belvedere Village;Via Giovanni Paolo II, 3;Residence;Via Giovanni Paolo II, 3, 37014 Castelnuovo del Garda VR, Italia
Campeggio del Garda Village and Camping;Via Marzan;Campeggio;Via Marzan, 37019 Peschiera del Garda VR, Italia
Campeggio Gasparina;Via Gasparina 13;Campeggio;Via Gasparina, 13, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Bazzoli Vittorio 1;Via Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
CA, BERT VILLA DEI GLICINI - LOC TUR Bertoldi Gaetano ;Via Corobbi 3;Altre strutture extralberghiere;Via Corobbi, 3, 37014 Sandrà VR, Italia
Locazione Turistica Errica Elisa;Via Zuccotti 5;Altre strutture extralberghiere;Via Zuccotti, 5, 37014 Zuccotti VR, Italia
Locazione Turistica Iannazzo Giordano;Via Isonzo 16;Altre strutture extralberghiere;Via Isonzo, 16, 37014 Sandrà VR, Italia
Locazione Turistica Lonardi Paolo;Via Polderin 8;Altre strutture extralberghiere;Via Polderin, 8, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Marconi Umberta 1;Via XX Settembre 3;Altre strutture extralberghiere;Via XX Settembre, 3, 37014 Cavalcaselle VR, Italia
Locazione Turistica Montagnana Paolo;Via Silani 48;Altre strutture extralberghiere;Via Silani, 48, 37014 Silani VR, Italia
Locazione Turistica OpenLab;Via Milano 79;Altre strutture extralberghiere;Via Milano, 79, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Strasser Stefan;Via Gasparina 8;Altre strutture extralberghiere;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Ubini Carlo;Via Dante 26;Altre strutture extralberghiere;Via Dante Alighieri, 26, 37014 Cavalcaselle VR, Italia
Appartamento Quadrivium;Via Giovanni Paolo II, 8;Casa vacanza;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
Appartamento La Corte;VIA RONCHI 16/21;Casa vacanza;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
LOCAZIONE TURISTICA MARIOLINA;VIA STAZIONE, 22;Casa vacanza;Via Stazione, 22, 37014 Castelnuovo del Garda VR, Italia
B&B da Miriam;Via Bragatton 4;Bed and Breakfast;Via Bragatton, 4, 37014 Castelnuovo del Garda VR, Italia
Villa Montenero;San Lorenzo 7;Affittacamere;Via S. Lorenzo, 7, 37014 Castelnuovo del Garda VR, Italia
ALLOGGIO TURISTICO LA PALAZZINA;BELVEDERE;Affittacamere;Via Giovanni Paolo II, 4, 37014 Cavalcaselle , Castelnuovo del Garda VR, Italia
Locazione turistica Ubini Pietro;Alighieri 26 ;Altre strutture extralberghiere;Via Dante Alighieri, 26, 37014 Cavalcaselle VR, Italia
Alloggio vacanze Gardaselle - Cavalcaselle verona;xx settembre 4;Altre strutture extralberghiere;Via XX Settembre, 4, 37014 Cavalcaselle VR, Italia
Be my Romeo;Piazza Angelini 13;Altre strutture extralberghiere;Piazza Angelini, 13, 37014 Castelnuovo del Garda VR, Italia
Appartamento La Corte (int.6);VIA RONCHI 16/6;Casa vacanza;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Bazzoli Vittorio 3;via P. Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
LA MAISON DE MELY;Via Fontanelle n. 4;Casa vacanza;Via Fontanelle, 4, 37014 Sandrà VR, Italia
CASA NATIA SALARDI SILVANA;Via San Zeno 25;Altre strutture extralberghiere;Via S. Zeno, 25, 37014 Cavalcaselle VR, Italia
Marcolini Giovanni;Mantovana 36;Altre strutture extralberghiere;Via Mantovana, 36, 37014 Cavalcaselle VR, Italia
Holiday House - Lago di Garda;POLDERIN 50;Affittacamere;Via Polderin, 50, 37014 Castelnuovo del Garda VR, Italia
Otta House;via mameli, 56;Casa vacanza;Via Mameli, 56, 37014 Castelnuovo del Garda VR, Italia
Affittacamere Gardalive;Via Magellano 2;Altre strutture extralberghiere;Via Magellano, 2, 37014 Castelnuovo del Garda VR, Italia
KORNREITER CHRISTA;VIA SEI FONTANE 8;Casa vacanza;Via Sei Fontane, 8, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Angoli;Giovanni Paolo II;Affittacamere;Via Giovanni Paolo II, 37014 Castelnuovo del Garda VR, Italia
Casa delle Rose;Bandiera 20;Affittacamere;Via Bandiera, 20, 37014 Oliosi VR, Italia
Appartamento GASPARINA A 11;Gasparina nr. 8;Altre strutture extralberghiere;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
Appartamento GASPARINA A 20;Gasparina nr. 8;Altre strutture extralberghiere;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
Villa Rossella;Via Camalavicina 7;Altre strutture extralberghiere;Via Camalavicina, 7, 37014 Camalavicina VR, Italia
Vanda House;valbruna, 9;Casa vacanza;Via Valbruna, 9, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica Isabella;Pozzetto  n 11;Altre strutture extralberghiere;Via Pozzetto, 11, 37014 Castelnuovo del Garda VR, Italia
NATURE HOME;VIA EDITH STEIN, 16/E;Altre strutture extralberghiere;Via Edith Stein, 16, 37014 Castelnuovo del Garda VR, Italia
Bouganville Room;Diaz, 42;Affittacamere;Via Diaz, 42, 37014 Castelnuovo del Garda VR, Italia
Enzo Fusco;SPAGNOI 16;Affittacamere;Via Spagnoi, 16, 37014 Spagnoi VR, Italia
Residenza estiva Kairos;Giosuè Carducci 2;Casa vacanza;Via Carducci, 2, 37014 Castelnuovo del Garda VR, Italia
Nest Guesthouse;Via Magellano, 26;Affittacamere;Via Magellano, 26, 37014 Castelnuovo del Garda VR, Italia
Garda Relais;Via Milano 77/79;Affittacamere;79, Via Milano, 77, 37014 Castelnuovo del Garda VR, Italia
B&B MORO DAL CASTEL;VIA ROMA 30/32;Bed and Breakfast;32, Via Roma, 30, 37014 Castelnuovo del Garda VR, Italia
FACCIOLI MATTEO;SOLFERINO 19;Altre strutture extralberghiere;Via Solferino, 19, 37014 Castelnuovo del Garda VR, Italia
Cà Blanca Country House;Via Colombarola 13;Altre strutture extralberghiere;Via Colombarola, 13, 37014 Castelnuovo del Garda VR, Italia
La corte - Fabio Prospero;Via XX Settembre 105;Casa vacanza;Via XX Settembre, 105, 37014 Cavalcaselle VR, Italia
SWEET APARTMENT;GIOVANNI PAOLO II;Altre strutture extralberghiere;Via Giovanni Paolo II, Castelnuovo del Garda VR, Italia
LOCAZIONE TURISTICA LEA;POZZETTO 9;Altre strutture extralberghiere;Via Pozzetto, 9, 37014 Castelnuovo del Garda VR, Italia
CASA ROSA;Via Trieste 28;Casa vacanza;Via Trieste, 28, 37014 Cavalcaselle VR, Italia
Locazione Turistica Bazzoli Vittorio 4; P. Mascagni 16;Casa vacanza;Via Mascagni, 16, 37014 Ronchi VR, Italia
La Casa della Ada;umberto I;Altre strutture extralberghiere;Via Umberto I, 37014 Castelnuovo del Garda VR, Italia
Peschiera Holiday Apartment Q1 (Cessata);via Giovanni Paolo II, 8;Casa vacanza;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
Bilocale Via Giotto - Cavalcaselle;Via Giotto 19;Affittacamere;Via Giotto, 19, 37014 Cavalcaselle VR, Italia
Home Sweet Home;Via Stazione, 43;Casa vacanza;Via Stazione, 43, 37014 Castelnuovo del Garda VR, Italia
Giorgio Facciotti;Località Staffalo 1;Casa vacanza;Via Staffalo, 1, 37014 Ronchi VR, Italia
Casetta sul Garda;gianfilippi, 24;Casa vacanza;Via Gianfilippi, 24, 37014 Castelnuovo del Garda VR, Italia
Casa oliveto;General Zamboni, 85A;Casa vacanza;Via Generale Zamboni SP27, 85, 37014 Bussolengo VR, Italia
Appartamento Borgo Gasparina;Via Gasparina 12;Altre strutture extralberghiere;Via Gasparina, 12, 37014 Castelnuovo del Garda VR, Italia
A Casa di Laura - Stay close to Gardaland and Garda Lake;Via G. Puccini 35;Casa vacanza;Via G. Puccini, 35, 37014 Ronchi VR, Italia
Homelyfeeling;Via Gianfilippi 40;Affittacamere;Via Gianfilippi, 40, 37014 Castelnuovo del Garda VR, Italia
Hotel Dorè;Via Milano, 23;Albergo;Via Milano, 23, 37014 Castelnuovo del Garda VR, Italia
Appartamento Annarosa ;Staffalo,9;Altre strutture extralberghiere;Via Staffalo, 9, 37014 Ronchi VR, Italia
casa walter;via matteotti;Casa vacanza;Via Matteotti, 37014 Sandrà VR, Italia
Hotel Miura;venezia 38;Albergo;Via Venezia, 38, 37017 Confine VR, Italia
Appartamento Corte Palù;Palù 26;Casa vacanza;Via Palù, 26, 37014 Castelnuovo del Garda VR, Italia
Casa oliveto 1;General Zamboni, 85A;Casa vacanza;Via Generale Zamboni SP27, 85, 37014 Bussolengo VR, Italia
RUDARI CATERINA;CASTELLANI 14;Casa vacanza;Via Castellani, 14, 37014 Sandrà VR, Italia
Pit stop house;VIA TRENTO 43;Affittacamere;Via Trento, 43, 37014 Castelnuovo del Garda VR, Italia
Borgo Gasparina A23;Via Gasparina 8;Casa vacanza;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
casale storico Enzo;Via Manara 8;Casa vacanza;Via Manara, 8, 37014 Castelnuovo del Garda VR, Italia
Il turistiere ;San zeno 7;Affittacamere;Via S. Zeno, 7, 37014 Cavalcaselle VR, Italia
Locazione turistica Frankell;Sabin 5;Casa vacanza;Via Albert Sabin, 5, 37014 Cavalcaselle VR, Italia
Carmel apartment;Ronchi 16;Casa vacanza;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
Maison Claudette;Via G. Puccini, 13;Casa vacanza;Via G. Puccini, 13, 37014 Ronchi VR, Italia
Attic 82;Giovanni Paolo II, 8;Affittacamere;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
BLUE BED;piazza angelini 22;Casa vacanza;Piazza Angelini, 22, 37014 Castelnuovo del Garda VR, Italia
Locazione 1;Via Camalavicina 7;Casa vacanza;Via Camalavicina, 7, 37014 Camalavicina VR, Italia
Locazione 2;Via Camalavicina 7;Casa vacanza;Via Camalavicina, 7, 37014 Camalavicina VR, Italia
Locazione Bertocchi;Via Solferino 58;Casa vacanza;Via Solferino, 58, 37014 Castelnuovo del Garda VR, Italia
Appartamenti la corte (int.12);Via Ronchi 16;Casa vacanza;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
Casa Lorenzo;Martiri delle Foibe 27;Altre strutture extralberghiere;Via Martiri delle Foibe, 27, 37014 Castelnuovo del Garda VR, Italia
Mario Luppi;Via Mischi 29;Affittacamere;Via Mischi, 29, 37014 Castelnuovo del Garda VR, Italia
Casa pie' di castello ;umberto primo 51;Altre strutture extralberghiere;Via Umberto I, 51, 37014 Castelnuovo del Garda VR, Italia
Casa Loredana;Via Palù 14;Casa vacanza;Via Palù, 14, 37014 Castelnuovo del Garda VR, Italia
SWEET APARTMENT LAKE VIEW;VIA FORTE VILLA 11;Altre strutture extralberghiere;Via Forte VIlla, 11, Provincia di Verona, Italia
B&B ROSETO HOLIDAYS AZZURRO;VIA ZUCCOTTI 1/B;Bed and Breakfast;Via Zuccotti, 1, 37014 Castelnuovo del Garda VR, Italia
LAKE GARDA HOLIDAY APARTMENT;VIA RONCHI 16;Altre strutture extralberghiere;Via Ronchi, 16, 37014 Castelnuovo del Garda VR, Italia
B&B LE GIALE DI ALESSANDRA MUFFOLINI;San Lorenzo, 63;Bed and Breakfast;Via S. Lorenzo, 63, 37014 San Lorenzo VR, Italia
AGRITURISMO CASA PEZZO ;via colombara ;Agriturismo;Via Colombara, 37014 Castelnuovo del Garda VR, Italia
GardaBeds;Via Testi 19;Altre strutture extralberghiere;Via Testi, 19, 37014 Castelnuovo del Garda VR, Italia
Casa Dolcitalia Con Piscina;Luigi Boccherini;Casa vacanza;Via Luigi Boccherini, 37014 Castelnuovo del Garda VR, Italia
Casa Nostra - Garda Rooms;fiera 23;Altre strutture extralberghiere;Via Fiera, 23, 37014 Cavalcaselle VR, Italia
CASA SAN MARCO;Verona 1;Agriturismo;Via Verona, 1, 37014 Castelnuovo del Garda VR, Italia
Appartamento Incantevole;trento 4;Altre strutture extralberghiere;Via Trento, 4, 37014 Castelnuovo del Garda VR, Italia
S.G.HOUSE;MILANO 181/B;Casa vacanza;Via Milano, 181B, 37014 Castelnuovo del Garda VR, Italia
LE VIGNE DEL MORETTO DI CINQUETTI MARIA GIOIA;VIA MORETTO 19;Agriturismo;Via Moretto, 19, 37014 Castelnuovo del Garda VR, Italia
Residence Quadrivium;Giovanni Paolo II, 8;Altre strutture extralberghiere;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
Appartamento Prepelita;Via Corobbi 5;Altre strutture extralberghiere;Via Corobbi, 5, 37014 Sandrà VR, Italia
Mon Reve ;palù;Affittacamere;Via Palù, 37014 Castelnuovo del Garda VR, Italia
GARDA VIEW APARTMENT;TRIESTE 28;Casa vacanza;Via Trieste, 28, 37014 Cavalcaselle VR, Italia
MONTECRISTO ;BRENERO 2;Casa vacanza;Via Brennero, 2, 37014 Castelnuovo del Garda VR, Italia
SKY AND LAKE;Dante Alighieri;Altre strutture extralberghiere;Via Dante Alighieri, 37014 Cavalcaselle VR, Italia
Harmony;Dante Alighieri n18;Altre strutture extralberghiere;Via Dante Alighieri, 37014 Cavalcaselle VR, Italia
Villa Ali;XXV aprile, 59;Altre strutture extralberghiere;Via XXV Aprile, 59, 37014 Cavalcaselle VR, Italia
Borgo Gasparina A26;Gasparina, 8;Altre strutture extralberghiere;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
ZEN ZERO HOLIDAYS;MANTOVANA 58;Casa vacanza;Via Mantovana, 58, 37014 Cavalcaselle VR, Italia
nido sul garda;solferino;Casa vacanza;Via Solferino, 37014 Castelnuovo del Garda VR, Italia
Isabella Rossi;FORTE VILLA 13;Casa vacanza;Via Forte VIlla, 13, 37014 Castelnuovo del Garda VR, Italia
Giovanni Marcolini;Mantovana 36 -primo piano ;Altre strutture extralberghiere;Via Mantovana, 36, 37014 Cavalcaselle VR, Italia
Appartamento Quadrivium N°37;Via Giovanni Paolo II n.8;Casa vacanza;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
My Peschiera Holiday Apartment Q1 ;Giovanni Paolo II, 8;Altre strutture extralberghiere;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
GARDA STAR;Via Dante Alighieri;Casa vacanza;Via Dante Alighieri, 37014 Cavalcaselle VR, Italia
Appartamento mantovana 68 ;mantovana ;Casa vacanza;Via Mantovana, 37014 Castelnuovo del Garda VR, Italia
Locazione Turistica via Alighieri;alighieri;Casa vacanza;Via Dante Alighieri, 37014 Cavalcaselle VR, Italia
Corte Colombaron;Colombaron 4;Altre strutture extralberghiere;Via Colombaron, 4, 37014 Castelnuovo del Garda VR, Italia
Villa B ;Via San Lorenzo 19;Altre strutture extralberghiere;Via S. Lorenzo, 19, 37014 Castelnuovo del Garda VR, Italia
Marilena ;Canove;Casa vacanza;Via Canove, 37014 Cavalcaselle VR, Italia
Locazione Adami;VIA MAGELLANO,2;Casa vacanza;Via Magellano, 2, 37014 Castelnuovo del Garda VR, Italia
Gasparina A26;Via Gasparina 8;Casa vacanza;Via Gasparina, 8, 37014 Castelnuovo del Garda VR, Italia
HOUSE PARADISO;Via Forte Villa , 11;Casa vacanza;Via Forte VIlla, 11, Provincia di Verona, Italia
HOUSE DOGANA;Via Benaco, 34;Casa vacanza;Via Benaco, 34, 37019 Peschiera del Garda VR, Italia
Gasparina A28;Via Gasparina;Casa vacanza;Via Gasparina, 37014 Castelnuovo del Garda VR, Italia
AB;Via Giovanni Paolo II, 8;Casa vacanza;Via Giovanni Paolo II, 8, 37014 Castelnuovo del Garda VR, Italia
GREEN ROOM DEL GARDA;VIA MARTIN LUTHER KING N. 7;Casa vacanza;Via Martin Luther King, 7, 37014 Castelnuovo del Garda VR, Italia
Alloggio Radivojevic;Via Milano 181/b int. 4;Altre strutture extralberghiere;Via Milano, 181B/int. 4, 37014 Castelnuovo del Garda VR, Italia
Locazione turistica Porticciolo;Campanello 28;Affittacamere;Via Campanello, 28, 37014 Castelnuovo del Garda VR, Italia
BONDION APARTMENT;via loc quaiaia 162;Altre strutture extralberghiere;37014 Castelnuovo del Garda VR, Italia
Picnic&Pool;Casaline 37;Altre strutture extralberghiere;Via Casaline, 37, 37014 Castelnuovo del Garda VR, Italia
